Wall time,Step,Value
1751291861.810814,3030,124.24737548828125
1751291863.746908,3038,232.25436401367188
1751291864.231544,3040,87.59548950195312
1751291864.469821,3041,55.36973571777344
1751291864.70903,3042,49.217010498046875
1751291867.338182,3050,138.17250061035156
1751291870.8844001,3065,130.4888153076172
1751291871.369735,3067,55.8788948059082
1751291871.857173,3069,92.45318603515625
1751291872.340106,3071,78.58274841308594
1751291872.8256829,3073,42.81916809082031
1751291875.0024729,3082,67.66918182373047
1751291875.9789948,3086,122.11927032470703
1751291880.5571241,3099,83.36734771728516
1751291884.107768,3103,138.8489532470703
1751291890.480959,3122,100.31585693359375
1751291894.547253,3137,278.6551208496094
1751291894.854152,3138,79.52986145019531
1751291896.435023,3144,86.52308654785156
1751291896.705376,3145,111.35787200927734
1751291897.3019872,3147,79.2529525756836
1751291899.369569,3150,83.37271118164062
1751291900.635377,3155,52.22972869873047
1751291901.416069,3158,54.5050048828125
1751291901.6673212,3159,90.21458435058594
1751291902.1702242,3161,93.25518798828125
1751291906.20715,3177,64.33274841308594
1751291908.336912,3184,74.91940307617188
1751291909.345084,3188,60.49839782714844
1751291911.257229,3195,94.34632873535156
1751291911.526913,3196,81.70561218261719
1751291914.513383,3203,68.22490692138672
1751291915.246604,3206,119.68975067138672
1751291921.375041,3230,90.79946899414062
1751291922.115059,3233,120.22481536865234
1751291924.086968,3240,102.87662506103516
1751291924.833256,3243,72.650390625
1751291925.099895,3244,79.69136047363281
1751291925.644536,3246,60.14604568481445
1751291926.009923,3247,153.189697265625
1751291929.4483159,3254,52.146697998046875
1751291929.940649,3256,100.3582763671875
1751291932.692338,3267,92.56464385986328
1751291933.932758,3272,62.837745666503906
1751291936.393173,3281,100.99505615234375
1751291936.982391,3283,104.80656433105469
1751291937.47504,3285,49.317134857177734
1751291938.4505851,3289,51.172027587890625
1751291939.207149,3292,52.159202575683594
1751291943.540098,3305,179.71804809570312
1751291943.821768,3306,72.8146743774414
1751291944.082407,3307,31.284929275512695
1751291945.636805,3313,58.07716751098633
1751291947.601064,3321,48.80687713623047
1751291949.0509162,3327,35.941837310791016
1751291949.292848,3328,49.252655029296875
1751291949.534986,3329,71.24588775634766
1751291950.502802,3333,149.96029663085938
1751291951.706603,3338,32.8054084777832
1751291953.519253,3345,77.24075317382812
1751291956.626,3353,83.19949340820312
1751291958.118109,3357,34.66310119628906
1751291959.1726809,3361,130.66964721679688
1751291959.6781151,3363,89.25792694091797
1751291961.419508,3369,55.66450500488281
1751291962.163828,3372,61.55134582519531
1751291962.675903,3374,26.809223175048828
1751291963.232554,3376,118.77997589111328
1751291963.7248142,3378,102.71624755859375
1751291964.469532,3381,62.41792297363281
1751291965.690667,3386,58.598087310791016
1751291968.968025,3398,101.70152282714844
1751291971.386087,3403,103.51995849609375
1751291972.6872818,3408,34.89800262451172
1751291977.460404,3426,104.90226745605469
1751291978.528385,3430,28.811901092529297
1751291979.291224,3433,125.372314453125
1751291980.514078,3438,58.49596405029297
1751291982.2345269,3445,37.86419677734375
1751291983.2336488,3449,93.45982360839844
1751291985.132994,3451,57.228126525878906
1751291986.970412,3457,49.644840240478516
1751291987.2241752,3458,82.92424774169922
1751291988.823176,3464,68.42153930664062
1751291990.705645,3471,85.01686096191406
1751291992.205326,3477,80.28182983398438
1751291992.95014,3480,112.10352325439453
1751291994.491488,3486,107.7154541015625
1751291997.468778,3497,29.47203254699707
1751291997.9630919,3499,54.01325225830078
1751292000.709148,3506,193.00779724121094
1751292001.450243,3509,63.670936584472656
1751292002.214863,3512,77.3584976196289
1751292002.728307,3514,82.15299987792969
1751292003.967794,3519,56.729331970214844
1751292008.0723479,3535,113.62435913085938
1751292008.568046,3537,61.66267395019531
1751292008.814857,3538,55.36674880981445
1751292009.81902,3542,57.113983154296875
1751292010.068886,3543,55.00736999511719
1751292011.045569,3547,20.48929214477539
1751292011.54664,3549,186.18438720703125
1751292014.213592,3555,35.884979248046875
1751292014.45314,3556,37.26195526123047
1751292016.240382,3563,71.70772552490234
1751292019.3030741,3575,28.159975051879883
1751292020.602517,3580,38.89195251464844
1751292021.38356,3583,72.45758056640625
1751292023.646415,3592,67.29243469238281
1751292023.899434,3593,101.67777252197266
1751292025.385201,3599,44.03122329711914
1751292026.641452,3600,64.88067626953125
1751292030.201952,3614,58.90129852294922
1751292031.332869,3618,45.85797882080078
1751292031.942372,3620,73.53682708740234
1751292032.482055,3622,104.58518981933594
1751292033.224504,3625,113.92589569091797
1751292033.9859798,3628,20.930564880371094
